start_date,mean_ndvi
01/01/2017,0.184
15/01/2017,0.183
29/01/2017,0.155
26/02/2017,0.094
12/03/2017,0.089
04/06/2017,0.113
02/07/2017,0.152
16/07/2017,0.134
30/07/2017,0.136
13/08/2017,0.101
10/09/2017,0.155
24/09/2017,0.154
05/11/2017,0.478
19/11/2017,0.387
03/12/2017,0.205
17/12/2017,0.174
01/01/2018,0.19
15/01/2018,0.147
29/01/2018,0.124
12/02/2018,0.092
12/03/2018,0.306
07/05/2018,0.13
21/05/2018,0.436
18/06/2018,0.275
30/07/2018,0.361
27/08/2018,0.188
10/09/2018,0.122
03/12/2018,0.225
17/12/2018,0.169
01/01/2019,0.168
15/01/2019,0.146
29/01/2019,0.138
12/02/2019,0.114
26/02/2019,0.129
12/03/2019,0.126
26/03/2019,0.123
09/04/2019,0.114
23/04/2019,0.159
07/05/2019,0.166
21/05/2019,0.166
04/06/2019,0.19
18/06/2019,0.216
02/07/2019,0.22
16/07/2019,0.2
30/07/2019,0.222
13/08/2019,0.189
27/08/2019,0.187
10/09/2019,0.186
24/09/2019,0.162
08/10/2019,0.166
22/10/2019,0.272
05/11/2019,0.254
19/11/2019,0.272
03/12/2019,0.284
17/12/2019,0.292
01/01/2020,0.242
15/01/2020,0.225
29/01/2020,0.262
12/02/2020,0.255
26/02/2020,0.223
11/03/2020,0.228
25/03/2020,0.289
08/04/2020,0.23
22/04/2020,0.282
06/05/2020,0.31
20/05/2020,0.281
03/06/2020,0.243
17/06/2020,0.268
01/07/2020,0.256
15/07/2020,0.223
29/07/2020,0.248
12/08/2020,0.282
26/08/2020,0.257
09/09/2020,0.247
23/09/2020,0.192
07/10/2020,0.308
21/10/2020,0.265
04/11/2020,0.281
18/11/2020,0.251
02/12/2020,0.24
16/12/2020,0.2
30/12/2020,0.352
01/01/2021,0.188
15/01/2021,0.168
29/01/2021,0.161
12/02/2021,0.133
26/02/2021,0.144
12/03/2021,0.132
26/03/2021,0.128
09/04/2021,0.153
23/04/2021,0.169
07/05/2021,0.268
21/05/2021,0.278
04/06/2021,0.242
18/06/2021,0.186
02/07/2021,0.174
16/07/2021,0.335
30/07/2021,0.195
13/08/2021,0.179
27/08/2021,0.156
10/09/2021,0.18
24/09/2021,0.202
08/10/2021,0.203
22/10/2021,0.177
05/11/2021,0.164
19/11/2021,0.149
03/12/2021,0.155
17/12/2021,0.132
01/01/2022,0.136
15/01/2022,0.153
29/01/2022,0.162
12/02/2022,0.144
26/02/2022,0.138
12/03/2022,0.129
26/03/2022,0.119
09/04/2022,0.165
23/04/2022,0.188
07/05/2022,0.245
21/05/2022,0.225
04/06/2022,0.229
18/06/2022,0.193
02/07/2022,0.174
16/07/2022,0.145
30/07/2022,0.178
13/08/2022,0.179
27/08/2022,0.19
10/09/2022,0.196
24/09/2022,0.175
08/10/2022,0.153
22/10/2022,0.13
05/11/2022,0.123
19/11/2022,0.131
03/12/2022,0.12
17/12/2022,0.134
01/01/2023,0.143
15/01/2023,0.131
29/01/2023,0.123
12/02/2023,0.122
26/02/2023,0.111
12/03/2023,0.147
26/03/2023,0.197
09/04/2023,0.189
23/04/2023,0.255
07/05/2023,0.273
21/05/2023,0.238
04/06/2023,0.207
18/06/2023,0.188
02/07/2023,0.176
16/07/2023,0.152
30/07/2023,0.137
13/08/2023,0.16
27/08/2023,0.143
10/09/2023,0.148
24/09/2023,0.15
08/10/2023,0.128
22/10/2023,0.161
05/11/2023,0.253
19/11/2023,0.242
03/12/2023,0.203
17/12/2023,0.198
01/01/2024,0.18
15/01/2024,0.15
29/01/2024,0.141
12/02/2024,0.131
26/02/2024,0.136
11/03/2024,0.154
25/03/2024,0.133
08/04/2024,0.185
22/04/2024,0.291
06/05/2024,0.321
20/05/2024,0.31
03/06/2024,0.269
17/06/2024,0.229
01/07/2024,0.198
15/07/2024,0.177
29/07/2024,0.288
12/08/2024,0.256
26/08/2024,0.295
09/09/2024,0.243
23/09/2024,0.211
07/10/2024,0.186
21/10/2024,0.23
04/11/2024,0.211
18/11/2024,0.173
02/12/2024,0.283
16/12/2024,0.251
01/01/2025,0.21
15/01/2025,0.175
29/01/2025,0.156
12/02/2025,0.154
26/02/2025,0.138
12/03/2025,0.173
26/03/2025,0.228
09/04/2025,0.205
23/04/2025,0.282
07/05/2025,0.311
21/05/2025,0.302
04/06/2025,0.263
18/06/2025,0.226
02/07/2025,0.184
16/07/2025,0.218
30/07/2025,0.206
13/08/2025,0.219
27/08/2025,0.262
10/09/2025,0.241
24/09/2025,0.211
08/10/2025,0.228
22/10/2025,0.22
05/11/2025,0.236
19/11/2025,0.206
03/12/2025,0.174
17/12/2025,0.171
01/01/2026,0.184
15/01/2026,0.153
29/01/2026,0.145
